States,x,y
Ladakh,-114,266
Jammu Kashmir,-143,223
Himachal Pradesh,-98,183
Punjab,-130,159
Haryana,-120,129
Delhi,-90,109
Uttarakhand,-57,144
Uttar Pradesh,-31,80
Rajasthan,-176,68
Madhya Pradesh,-94,-5
Bihar,40,39
Odisha,30,-58
Gujarat,-218,-21
Maharashtra,-157,-82
Chhattisgarh,-8,-35
Jharkhand,42,12
West Bengal,111,-20
Sikkim,112,95
Assam,161,74
Meghalaya,149,49
Tripura,177,21
Mizoram,201,-8
Manipur,210,36
Nagaland,225,77
Arunachal Pradesh,231,130
Goa,-162,-166
Karnataka,-139,-206
Telangana,-68,-103
Andhra Pradesh,-79,-166
Kerala,-106,-284
Tamil Nadu,-68,-274
Andaman Nicobar,218,-224
Lakshadweep,-199,-267
